metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
data_mismatch,data_mismatch,nflow,2112,0.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
data_mismatch,data_mismatch,pategan,192,0.0,191,191,step_192_real.parquet,step_192_synth.parquet,
data_mismatch,data_mismatch,pategan,384,0.0,383,383,step_384_real.parquet,step_384_synth.parquet,
data_mismatch,data_mismatch,pategan,576,0.0,575,575,step_576_real.parquet,step_576_synth.parquet,
data_mismatch,data_mismatch,pategan,768,0.0,767,767,step_768_real.parquet,step_768_synth.parquet,
data_mismatch,data_mismatch,pategan,960,0.0,959,959,step_960_real.parquet,step_960_synth.parquet,
data_mismatch,data_mismatch,pategan,1152,0.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
data_mismatch,data_mismatch,pategan,1344,0.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
data_mismatch,data_mismatch,pategan,1536,0.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
data_mismatch,data_mismatch,pategan,1728,0.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
data_mismatch,data_mismatch,pategan,1920,0.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
data_mismatch,data_mismatch,pategan,2112,0.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
data_mismatch,data_mismatch,rtvae,192,0.0,191,191,step_192_real.parquet,step_192_synth.parquet,
data_mismatch,data_mismatch,rtvae,384,0.0,383,383,step_384_real.parquet,step_384_synth.parquet,
data_mismatch,data_mismatch,rtvae,576,0.0,575,575,step_576_real.parquet,step_576_synth.parquet,
data_mismatch,data_mismatch,rtvae,768,0.0,767,767,step_768_real.parquet,step_768_synth.parquet,
data_mismatch,data_mismatch,rtvae,960,0.0,959,959,step_960_real.parquet,step_960_synth.parquet,
data_mismatch,data_mismatch,rtvae,1152,0.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
data_mismatch,data_mismatch,rtvae,1344,0.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
data_mismatch,data_mismatch,rtvae,1536,0.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
data_mismatch,data_mismatch,rtvae,1728,0.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
data_mismatch,data_mismatch,rtvae,1920,0.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
data_mismatch,data_mismatch,rtvae,2112,0.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
data_mismatch,data_mismatch,tvae,192,0.0,191,191,step_192_real.parquet,step_192_synth.parquet,
data_mismatch,data_mismatch,tvae,384,0.0,383,383,step_384_real.parquet,step_384_synth.parquet,
data_mismatch,data_mismatch,tvae,576,0.0,575,575,step_576_real.parquet,step_576_synth.parquet,
data_mismatch,data_mismatch,tvae,768,0.0,767,767,step_768_real.parquet,step_768_synth.parquet,
data_mismatch,data_mismatch,tvae,960,0.0,959,959,step_960_real.parquet,step_960_synth.parquet,
data_mismatch,data_mismatch,tvae,1152,0.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
data_mismatch,data_mismatch,tvae,1344,0.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
data_mismatch,data_mismatch,tvae,1536,0.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
data_mismatch,data_mismatch,tvae,1728,0.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
data_mismatch,data_mismatch,tvae,1920,0.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
data_mismatch,data_mismatch,tvae,2112,0.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
